,Catégorie,URL,Description
0,Accueil / Vue d’ensemble,https://mabanque.bnpparibas/,Présentation générale et liens vers toutes les offres.
1,Comptes & Formules,https://mabanque.bnpparibas/fr/devenir-client/compte-bancaire,"Détails sur les comptes BNP Paribas, formules et conditions."
2,Épargne & Livrets,https://mabanque.bnpparibas/fr/epargner/comptes-livrets-epargne,"Produits d’épargne : Livret A, LDDS, PEL, CEL, etc."
3,Crédits & Financement,https://mabanque.bnpparibas/fr/vos-besoins/vos-projets,"Solutions de financement : prêts personnels, auto, immobilier, études."
4,Cartes bancaires,https://mabanque.bnpparibas/fr/gerer/services-bancaires/cartes,"Cartes Visa Classic, Premier, Infinite : avantages, assurances, tarifs."
5,Bourse & Placement,https://mabanque.bnpparibas/fr/bourse/nos-offres-et-services-bourse,Informations sur la bourse et les placements financiers.
7,FAQ / Aide & Services,https://mabanque.bnpparibas/fr/ma-banque-et-moi/nos-services-accompagnement/tous-nos-services-d-accompagnement,Page FAQ et services d’accompagnement client.
8,Tarifs & Conditions,https://mabanque.bnpparibas/fr/notre-offre/tarifs,Grille tarifaire BNP Paribas et conditions générales.
9,Sécurité / Connexion,https://mabanque.bnpparibas/fr/securite,Conseils sécurité et prévention des fraudes bancaires.
